date,store_id,product_id,category,rack_location,quantity_sold,unit_price_npr,discount_percent,customer_traffic,inventory_level,rainfall_mm,temperature,petrol_price,revenue_npr,cost_npr,profit_npr,is_dashain,is_tihar,is_holi,is_eid,is_lhosar,holiday_name,is_holiday,nepali_month,day_of_week,day,month,year,weekofyear,is_salary_week,festival_season
2024-11-26,14,1075,Smartphone,R1-A,1,94171.92,20,425,136,14.42,31.8,185.66,75337.54,65920.34,9417.2,0,0,0,0,0,,0,Falgun,Tuesday,26,11,2024,48,0,0
2024-03-28,8,1008,Headphone,R3-C,8,26026.14,0,166,457,12.82,23.5,160.01,208209.12,145746.38,62462.74,0,0,0,0,0,,0,Ashadh,Thursday,28,3,2024,13,0,0
2024-04-09,10,1035,Smartwatch,R1-B,8,13602.33,5,183,368,33.85,6.0,168.45,103377.71,76173.05,27204.66,0,0,0,0,0,,0,Shrawan,Tuesday,9,4,2024,15,0,0
2024-12-25,7,1091,Laptop,R2-B,6,190550.24,15,496,9,3.67,27.5,158.0,971806.22,800311.01,171495.21,0,0,0,0,0,,0,Chaitra,Wednesday,25,12,2024,52,0,0
2024-05-31,17,1037,Laptop,R2-B,7,123283.27,5,338,307,16.36,9.8,174.68,819833.75,604088.02,215745.73,0,0,0,0,0,,0,Bhadra,Friday,31,5,2024,22,0,0
2024-05-10,4,1032,Router,R3-A,2,22555.35,10,343,44,10.67,33.3,183.06,40599.63,31577.49,9022.14,0,0,0,0,0,,0,Bhadra,Friday,10,5,2024,19,0,0
2024-05-29,13,1041,Laptop,R2-B,5,171772.83,10,190,435,4.98,18.1,170.14,772977.74,601204.9,171772.84,0,0,0,0,0,,0,Bhadra,Wednesday,29,5,2024,22,0,0
2024-11-04,4,1060,Television,R4-D,7,105493.24,20,474,248,17.12,23.5,179.59,590762.14,516916.88,73845.26,0,0,0,0,0,,0,Falgun,Monday,4,11,2024,45,1,0
2024-09-14,5,1045,Laptop,R2-B,9,154842.56,20,290,29,12.37,13.4,177.76,1114866.43,975508.13,139358.3,0,0,0,0,0,,0,Poush,Saturday,14,9,2024,37,0,0
2024-12-09,4,1085,Laptop,R2-B,1,27097.73,20,318,447,19.47,19.3,166.78,21678.18,18968.41,2709.77,0,0,0,0,0,,0,Chaitra,Monday,9,12,2024,50,0,0
2024-10-20,18,1088,Smartwatch,R1-B,3,181568.27,15,487,224,11.25,27.6,174.47,462999.09,381293.37,81705.72,0,0,0,0,0,,0,Magh,Sunday,20,10,2024,42,0,0
2024-07-10,6,1060,Headphone,R3-C,6,118926.02,5,246,385,18.6,19.8,157.76,677878.31,499489.28,178389.03,0,0,0,0,0,,0,Kartik,Wednesday,10,7,2024,28,0,0
2024-10-03,2,1017,Smartwatch,R1-B,7,148175.61,10,166,176,17.6,30.4,173.4,933506.34,726060.49,207445.85,0,0,0,0,0,,0,Magh,Thursday,3,10,2024,40,1,0
2024-06-09,11,1069,Television,R4-D,6,8213.18,5,260,95,3.32,26.4,173.33,46815.13,34495.36,12319.77,0,0,0,0,0,,0,Ashwin,Sunday,9,6,2024,23,0,0
2024-11-09,14,1081,Laptop,R2-B,1,64430.37,15,230,428,4.38,7.3,156.15,54765.81,45101.26,9664.55,0,0,0,0,0,,0,Falgun,Saturday,9,11,2024,45,0,0
2024-01-22,5,1079,Headphone,R3-C,4,54954.19,5,347,16,6.55,23.2,175.55,208825.92,153871.73,54954.19,0,0,0,0,0,,0,Baisakh,Monday,22,1,2024,4,0,0
2024-09-09,6,1014,Router,R3-A,6,190019.81,5,232,27,19.89,23.4,184.51,1083112.92,798083.2,285029.72,0,0,0,0,0,,0,Poush,Monday,9,9,2024,37,0,0
2024-08-23,10,1047,Router,R3-A,8,38697.04,20,220,125,25.9,16.4,173.09,247661.06,216703.42,30957.64,0,0,0,0,0,,0,Mangsir,Friday,23,8,2024,34,0,0
2024-12-10,8,1071,Laptop,R2-B,4,141996.24,5,346,300,15.07,14.7,180.84,539585.71,397589.47,141996.24,0,0,0,0,0,,0,Chaitra,Tuesday,10,12,2024,50,0,0
2024-02-18,14,1012,Laptop,R2-B,7,10465.2,5,143,272,16.15,6.9,176.3,69593.58,51279.48,18314.1,0,0,0,0,0,,0,Jestha,Sunday,18,2,2024,7,0,0
2024-02-28,3,1042,Router,R3-A,3,41141.45,5,341,498,4.49,18.4,186.41,117253.13,86397.04,30856.09,0,0,0,0,0,,0,Jestha,Wednesday,28,2,2024,9,0,0
2024-06-18,12,1059,Router,R3-A,8,69042.28,0,431,186,12.11,15.1,175.58,552338.24,386636.77,165701.47,0,0,0,0,0,,0,Ashwin,Tuesday,18,6,2024,25,0,0
2024-07-06,16,1056,Television,R4-D,1,159312.16,10,268,141,18.13,33.5,168.26,143380.94,111518.51,31862.43,0,0,0,0,0,,0,Kartik,Saturday,6,7,2024,27,1,0
2024-09-27,17,1070,Laptop,R2-B,4,158415.36,10,44,371,13.71,25.2,188.1,570295.3,443563.01,126732.29,0,0,0,0,0,,0,Poush,Friday,27,9,2024,39,0,0
2024-07-08,1,1016,Router,R3-A,8,190615.17,5,192,137,16.21,18.8,157.7,1448675.29,1067444.95,381230.34,0,0,0,0,0,,0,Kartik,Monday,8,7,2024,28,0,0
2024-06-23,10,1049,Smartphone,R1-A,4,183519.97,20,312,481,20.92,27.6,166.58,587263.9,513855.92,73407.98,0,0,0,0,0,,0,Ashwin,Sunday,23,6,2024,25,0,0
2024-02-20,10,1031,Router,R3-A,2,18139.89,20,170,461,37.92,28.4,178.66,29023.82,25395.85,3627.97,0,0,0,0,0,,0,Jestha,Tuesday,20,2,2024,8,0,0
2024-12-29,2,1021,Headphone,R3-C,2,166313.81,20,102,336,11.47,19.4,189.24,266102.1,232839.33,33262.77,0,0,0,0,0,,0,Chaitra,Sunday,29,12,2024,52,0,0
2024-02-24,9,1054,Headphone,R3-C,4,91332.37,10,396,228,23.71,7.3,157.89,328796.53,255730.64,73065.89,0,0,0,0,0,,0,Jestha,Saturday,24,2,2024,8,0,0
2024-08-31,13,1056,Smartphone,R1-A,4,173445.45,15,206,213,16.69,28.4,158.84,589714.53,485647.26,104067.27,0,0,0,0,0,,0,Mangsir,Saturday,31,8,2024,35,0,0
2024-11-15,16,1012,Television,R4-D,2,19678.68,5,324,273,15.62,7.7,166.3,37389.49,27550.15,9839.34,0,0,0,0,0,,0,Falgun,Friday,15,11,2024,46,0,0
2024-05-10,18,1046,Laptop,R2-B,7,164908.28,10,215,290,8.73,30.4,168.78,1038922.16,808050.57,230871.59,0,0,0,0,0,,0,Bhadra,Friday,10,5,2024,19,0,0
2024-11-02,19,1086,Laptop,R2-B,6,33609.22,20,493,431,5.5,15.0,188.74,161324.26,141158.72,20165.54,0,0,0,0,0,,0,Falgun,Saturday,2,11,2024,44,1,0
2024-05-14,12,1061,Router,R3-A,3,68100.64,10,485,57,27.98,24.1,193.36,183871.73,143011.34,40860.39,0,0,0,0,0,,0,Bhadra,Tuesday,14,5,2024,20,0,0
2024-01-21,8,1053,Headphone,R3-C,8,7711.98,10,498,370,14.25,27.2,155.69,55526.26,43187.09,12339.17,0,0,0,0,0,,0,Baisakh,Sunday,21,1,2024,3,0,0
2024-11-24,17,1028,Television,R4-D,8,26498.16,10,361,17,20.06,6.1,155.61,190786.75,148389.7,42397.05,0,0,0,0,0,,0,Falgun,Sunday,24,11,2024,47,0,0
2024-06-15,15,1021,Television,R4-D,1,90253.73,20,27,179,13.58,16.5,189.59,72202.98,63177.61,9025.37,0,0,0,0,0,,0,Ashwin,Saturday,15,6,2024,24,0,0
2024-09-30,10,1064,Television,R4-D,3,164030.99,15,243,157,40.06,23.1,160.42,418279.02,344465.08,73813.94,0,0,0,0,0,,0,Poush,Monday,30,9,2024,40,0,0
2024-03-29,15,1028,Router,R3-A,5,155186.61,0,497,255,11.83,30.4,168.57,775933.05,543153.13,232779.92,0,0,0,0,0,,0,Ashadh,Friday,29,3,2024,13,0,0
2024-11-11,15,1047,Laptop,R2-B,2,48588.96,5,391,36,33.67,26.5,166.01,92319.02,68024.54,24294.48,0,0,0,0,0,,0,Falgun,Monday,11,11,2024,46,0,0
2024-01-14,7,1004,Television,R4-D,5,32034.71,5,342,295,19.93,31.9,166.27,152164.87,112121.48,40043.39,0,0,0,0,0,,0,Baisakh,Sunday,14,1,2024,2,0,0
2024-08-29,13,1034,Router,R3-A,3,79074.17,10,75,261,3.43,7.5,168.14,213500.26,166055.76,47444.5,0,0,0,0,0,,0,Mangsir,Thursday,29,8,2024,35,0,0
2024-09-21,17,1073,Router,R3-A,9,176887.13,15,253,78,21.45,7.2,168.44,1353186.54,1114388.92,238797.62,0,0,0,0,0,,0,Poush,Saturday,21,9,2024,38,0,0
2024-12-11,9,1082,Smartphone,R1-A,1,20102.16,20,418,418,1.75,26.4,179.81,16081.73,14071.51,2010.22,0,0,0,0,0,,0,Chaitra,Wednesday,11,12,2024,50,0,0
2024-02-22,8,1070,Smartwatch,R1-B,4,109496.97,0,285,153,10.82,17.0,180.15,437987.88,306591.52,131396.36,0,0,0,0,0,,0,Jestha,Thursday,22,2,2024,8,0,0
2024-12-05,18,1045,Television,R4-D,6,19583.88,0,208,360,29.01,19.4,175.92,117503.28,82252.3,35250.98,0,0,0,0,0,,0,Chaitra,Thursday,5,12,2024,49,1,0
2024-04-01,13,1034,Smartwatch,R1-B,9,95102.0,10,468,346,4.33,23.1,189.34,770326.2,599142.6,171183.6,0,0,0,0,0,,0,Shrawan,Monday,1,4,2024,14,1,0
2024-09-20,16,1044,Laptop,R2-B,3,27104.72,10,462,157,14.63,34.6,188.83,73182.74,56919.91,16262.83,0,0,0,0,0,,0,Poush,Friday,20,9,2024,38,0,0
2024-02-04,9,1012,Router,R3-A,3,17906.71,20,422,74,14.75,7.0,163.69,42976.1,37604.09,5372.01,0,0,0,0,0,,0,Jestha,Sunday,4,2,2024,5,1,0
2024-07-24,12,1009,Television,R4-D,5,39788.17,20,27,371,7.8,8.3,176.75,159152.68,139258.59,19894.09,0,0,0,0,0,,0,Kartik,Wednesday,24,7,2024,30,0,0
2024-03-21,12,1065,Headphone,R3-C,7,52540.69,20,81,407,6.44,29.9,186.35,294227.86,257449.38,36778.48,0,0,0,0,0,,0,Ashadh,Thursday,21,3,2024,12,0,0
2024-02-19,6,1069,Laptop,R2-B,5,56700.55,10,164,377,25.02,5.6,189.67,255152.48,198451.92,56700.56,0,0,0,0,0,,0,Jestha,Monday,19,2,2024,8,0,0
2024-12-25,19,1071,Smartphone,R1-A,8,129763.05,15,387,54,3.48,18.5,165.21,882388.74,726673.08,155715.66,0,0,0,0,0,,0,Chaitra,Wednesday,25,12,2024,52,0,0
2024-01-02,7,1099,Smartphone,R1-A,5,12886.41,10,179,205,0.31,28.2,174.76,57988.84,45102.44,12886.4,0,0,0,0,0,,0,Baisakh,Tuesday,2,1,2024,1,1,0
2024-02-23,3,1024,Smartwatch,R1-B,7,18000.19,10,331,214,18.81,10.9,176.0,113401.2,88200.93,25200.27,0,0,0,0,0,,0,Jestha,Friday,23,2,2024,8,0,0
2024-04-15,16,1043,Router,R3-A,6,39363.82,0,364,8,21.0,10.6,182.99,236182.92,165328.04,70854.88,0,0,0,0,0,,0,Shrawan,Monday,15,4,2024,16,0,0
2024-09-16,18,1059,Smartwatch,R1-B,2,174668.49,20,291,105,39.07,14.3,168.21,279469.58,244535.89,34933.69,0,0,0,0,0,,0,Poush,Monday,16,9,2024,38,0,0
2024-11-05,16,1046,Headphone,R3-C,3,126463.78,5,160,317,10.76,9.5,166.74,360421.77,265573.94,94847.83,0,0,0,0,0,,0,Falgun,Tuesday,5,11,2024,45,1,0
2024-07-09,7,1039,Headphone,R3-C,4,146613.19,20,270,366,25.49,25.4,183.22,469162.21,410516.93,58645.28,0,0,0,0,0,,0,Kartik,Tuesday,9,7,2024,28,0,0
2024-08-05,4,1006,Smartphone,R1-A,5,75331.71,15,89,401,41.04,11.0,170.97,320159.77,263660.99,56498.78,0,0,0,0,0,,0,Mangsir,Monday,5,8,2024,32,1,0
2024-02-13,8,1045,Television,R4-D,9,44217.63,15,115,244,8.93,11.8,155.16,338264.87,278571.07,59693.8,0,0,0,0,0,,0,Jestha,Tuesday,13,2,2024,7,0,0
2024-06-10,13,1022,Smartphone,R1-A,6,9516.35,20,20,306,21.48,22.2,192.51,45678.48,39968.67,5709.81,0,0,0,0,0,,0,Ashwin,Monday,10,6,2024,24,0,0
2024-07-20,13,1082,Smartphone,R1-A,1,98730.05,20,412,102,31.36,34.0,160.99,78984.04,69111.04,9873.0,0,0,0,0,0,,0,Kartik,Saturday,20,7,2024,29,0,0
2024-09-26,17,1045,Headphone,R3-C,3,115707.63,10,217,274,5.63,32.4,160.95,312410.6,242986.02,69424.58,0,0,0,0,0,,0,Poush,Thursday,26,9,2024,39,0,0
2024-12-16,17,1085,Smartwatch,R1-B,7,179606.55,5,489,324,7.83,30.9,187.73,1194383.56,880072.09,314311.47,0,0,0,0,0,,0,Chaitra,Monday,16,12,2024,51,0,0
2024-10-30,5,1012,Headphone,R3-C,8,176654.41,10,405,372,9.88,20.9,168.42,1271911.75,989264.7,282647.05,0,0,0,0,0,,0,Magh,Wednesday,30,10,2024,44,0,0
2024-09-27,6,1020,Router,R3-A,7,86087.66,0,139,337,0.89,13.9,168.13,602613.62,421829.53,180784.09,0,0,0,0,0,,0,Poush,Friday,27,9,2024,39,0,0
2024-08-02,19,1000,Headphone,R3-C,5,85868.43,0,180,378,33.99,26.2,179.9,429342.15,300539.5,128802.65,0,0,0,0,0,,0,Mangsir,Friday,2,8,2024,31,1,0
2024-09-08,13,1018,Headphone,R3-C,8,33902.33,15,415,32,23.65,16.7,157.36,230535.84,189853.05,40682.79,0,0,0,0,0,,0,Poush,Sunday,8,9,2024,36,0,0
2024-07-08,14,1059,Smartphone,R1-A,9,52974.9,15,419,107,0.63,28.3,164.48,405257.99,333741.87,71516.12,0,0,0,0,0,,0,Kartik,Monday,8,7,2024,28,0,0
2024-10-22,4,1032,Television,R4-D,7,185281.39,5,42,421,29.91,5.5,157.13,1232121.24,907878.81,324242.43,0,0,0,0,0,,0,Magh,Tuesday,22,10,2024,43,0,0
2024-07-31,7,1003,Smartphone,R1-A,9,29925.13,15,33,268,14.06,20.9,166.66,228927.24,188528.32,40398.92,0,0,0,0,0,,0,Kartik,Wednesday,31,7,2024,31,0,0
2024-07-26,8,1002,Laptop,R2-B,1,193802.51,0,206,432,0.66,15.1,189.8,193802.51,135661.76,58140.75,0,0,0,0,0,,0,Kartik,Friday,26,7,2024,30,0,0
2024-08-24,13,1090,Headphone,R3-C,9,101938.23,5,414,72,8.54,12.5,191.37,871571.87,642210.85,229361.02,0,0,0,0,0,,0,Mangsir,Saturday,24,8,2024,34,0,0
2024-12-03,6,1051,Headphone,R3-C,3,92408.14,0,55,345,13.05,24.9,167.38,277224.42,194057.09,83167.33,0,0,0,0,0,,0,Chaitra,Tuesday,3,12,2024,49,1,0
2024-02-22,6,1098,Laptop,R2-B,6,36578.4,20,283,180,7.73,24.8,162.5,175576.32,153629.28,21947.04,0,0,0,0,0,,0,Jestha,Thursday,22,2,2024,8,0,0
2024-10-06,3,1027,Headphone,R3-C,8,132985.17,20,240,384,39.82,6.1,160.41,851105.09,744716.95,106388.14,0,0,0,0,0,,0,Magh,Sunday,6,10,2024,40,1,0
2024-08-04,3,1069,Headphone,R3-C,3,93049.41,5,142,267,2.0,33.4,170.78,265190.82,195403.76,69787.06,0,0,0,0,0,,0,Mangsir,Sunday,4,8,2024,31,1,0
2024-09-08,13,1069,Router,R3-A,4,75391.29,10,273,151,22.65,15.9,188.06,271408.64,211095.61,60313.03,0,0,0,0,0,,0,Poush,Sunday,8,9,2024,36,0,0
2024-07-06,2,1054,Headphone,R3-C,7,54374.21,15,94,384,11.25,32.5,189.11,323526.55,266433.63,57092.92,0,0,0,0,0,,0,Kartik,Saturday,6,7,2024,27,1,0
2024-02-10,16,1056,Laptop,R2-B,7,15164.39,5,376,67,0.83,22.5,156.84,100843.19,74305.51,26537.68,0,0,0,0,1,Lhosar,1,Jestha,Saturday,10,2,2024,6,0,1
2024-06-05,6,1086,Smartphone,R1-A,4,104826.97,15,322,390,21.85,24.6,163.37,356411.7,293515.52,62896.18,0,0,0,0,0,,0,Ashwin,Wednesday,5,6,2024,23,1,0
2024-01-15,8,1096,Headphone,R3-C,9,63955.85,0,14,371,18.29,33.8,163.13,575602.65,402921.86,172680.79,0,0,0,0,0,,0,Baisakh,Monday,15,1,2024,3,0,0
2024-10-27,8,1015,Television,R4-D,3,142157.31,10,278,347,67.15,29.7,188.14,383824.74,298530.35,85294.39,0,0,0,0,0,,0,Magh,Sunday,27,10,2024,43,0,0
2024-03-05,6,1023,Laptop,R2-B,8,145257.43,15,348,484,10.77,9.2,173.25,987750.52,813441.61,174308.91,0,0,0,0,0,,0,Ashadh,Tuesday,5,3,2024,10,1,0
2024-12-10,14,1068,Smartwatch,R1-B,8,67757.19,20,230,499,42.39,5.2,169.74,433646.02,379440.26,54205.76,0,0,0,0,0,,0,Chaitra,Tuesday,10,12,2024,50,0,0
2024-11-22,3,1040,Router,R3-A,4,134485.9,20,203,196,5.1,14.3,193.26,430354.88,376560.52,53794.36,0,0,0,0,0,,0,Falgun,Friday,22,11,2024,47,0,0
2024-01-09,10,1076,Laptop,R2-B,7,53217.7,0,430,294,16.07,19.7,192.01,372523.9,260766.73,111757.17,0,0,0,0,0,,0,Baisakh,Tuesday,9,1,2024,2,0,0
2024-12-09,3,1046,Smartphone,R1-A,4,145980.4,5,355,31,19.64,27.0,172.6,554725.52,408745.12,145980.4,0,0,0,0,0,,0,Chaitra,Monday,9,12,2024,50,0,0
2024-05-08,12,1075,Laptop,R2-B,1,5183.27,15,422,432,21.17,24.8,160.13,4405.78,3628.29,777.49,0,0,0,0,0,,0,Bhadra,Wednesday,8,5,2024,19,0,0
2024-05-15,17,1068,Smartwatch,R1-B,1,32018.54,0,78,414,16.09,14.4,161.84,32018.54,22412.98,9605.56,0,0,0,0,0,,0,Bhadra,Wednesday,15,5,2024,20,0,0
2024-03-03,5,1030,Router,R3-A,1,50511.72,20,297,107,8.8,21.3,159.48,40409.38,35358.2,5051.18,0,0,0,0,0,,0,Ashadh,Sunday,3,3,2024,9,1,0
2024-05-18,9,1091,Television,R4-D,2,155041.23,20,367,78,9.02,24.5,182.22,248065.97,217057.72,31008.25,0,0,0,0,0,,0,Bhadra,Saturday,18,5,2024,20,0,0
2024-03-21,7,1091,Smartwatch,R1-B,6,15142.5,20,185,258,10.17,20.4,177.19,72684.0,63598.5,9085.5,0,0,0,0,0,,0,Ashadh,Thursday,21,3,2024,12,0,0
2024-06-11,4,1029,Laptop,R2-B,5,39235.31,10,395,496,2.8,25.7,177.27,176558.9,137323.58,39235.32,0,0,0,0,0,,0,Ashwin,Tuesday,11,6,2024,24,0,0
2024-10-15,13,1017,Smartwatch,R1-B,2,73007.57,10,334,365,3.42,19.6,158.94,131413.63,102210.6,29203.03,0,0,0,0,0,,0,Magh,Tuesday,15,10,2024,42,0,0
2024-09-17,13,1043,Laptop,R2-B,8,3816.65,20,248,174,15.72,20.9,186.73,24426.56,21373.24,3053.32,0,0,0,0,0,,0,Poush,Tuesday,17,9,2024,38,0,0
2024-08-18,10,1026,Television,R4-D,9,152899.95,5,490,366,11.44,33.2,176.42,1307294.57,963269.68,344024.89,0,0,0,0,0,,0,Mangsir,Sunday,18,8,2024,33,0,0
2024-02-10,18,1098,Television,R4-D,7,112900.82,10,188,14,15.97,16.7,158.64,711275.17,553214.02,158061.15,0,0,0,0,1,Lhosar,1,Jestha,Saturday,10,2,2024,6,0,1
2024-01-28,17,1025,Smartphone,R1-A,9,180334.52,15,265,50,12.22,27.7,184.89,1379559.08,1136107.48,243451.6,0,0,0,0,0,,0,Baisakh,Sunday,28,1,2024,4,0,0
2024-05-14,13,1059,Television,R4-D,4,8144.14,10,428,106,1.31,15.0,194.25,29318.9,22803.59,6515.31,0,0,0,0,0,,0,Bhadra,Tuesday,14,5,2024,20,0,0
2024-07-19,17,1017,Headphone,R3-C,7,55735.36,15,220,209,1.66,15.0,172.65,331625.39,273103.26,58522.13,0,0,0,0,0,,0,Kartik,Friday,19,7,2024,29,0,0
2024-11-23,4,1096,Smartwatch,R1-B,5,146787.83,10,408,468,1.98,32.8,159.63,660545.24,513757.4,146787.84,0,0,0,0,0,,0,Falgun,Saturday,23,11,2024,47,0,0
2024-09-24,1,1088,Smartwatch,R1-B,5,135679.59,20,236,201,3.87,26.0,159.06,542718.36,474878.56,67839.8,0,0,0,0,0,,0,Poush,Tuesday,24,9,2024,39,0,0
2024-02-02,1,1055,Laptop,R2-B,3,50125.37,15,81,276,10.77,32.9,156.04,127819.69,105263.28,22556.41,0,0,0,0,0,,0,Jestha,Friday,2,2,2024,5,1,0
2024-02-17,15,1030,Television,R4-D,9,119946.17,5,376,217,28.36,34.8,185.82,1025539.75,755660.87,269878.88,0,0,0,0,0,,0,Jestha,Saturday,17,2,2024,7,0,0
2024-03-02,13,1058,Smartphone,R1-A,5,159164.02,10,74,40,7.6,5.0,182.76,716238.09,557074.07,159164.02,0,0,0,0,0,,0,Ashadh,Saturday,2,3,2024,9,1,0
2024-08-03,17,1001,Smartphone,R1-A,6,8609.38,10,175,375,5.2,34.5,178.37,46490.65,36159.4,10331.25,0,0,0,0,0,,0,Mangsir,Saturday,3,8,2024,31,1,0
2024-10-19,8,1096,Smartphone,R1-A,3,144090.42,20,223,258,4.76,8.0,185.63,345817.01,302589.88,43227.13,0,0,0,0,0,,0,Magh,Saturday,19,10,2024,42,0,0
2024-04-08,18,1038,Router,R3-A,7,51915.22,15,26,384,16.26,7.1,194.97,308895.56,254384.58,54510.98,0,0,0,0,0,,0,Shrawan,Monday,8,4,2024,15,0,0
2024-06-20,13,1060,Headphone,R3-C,9,189674.56,20,345,404,12.94,28.0,171.07,1365656.83,1194949.73,170707.1,0,0,0,0,0,,0,Ashwin,Thursday,20,6,2024,25,0,0
2024-12-25,14,1062,Television,R4-D,9,108567.6,15,182,202,13.65,15.5,183.23,830542.14,683975.88,146566.26,0,0,0,0,0,,0,Chaitra,Wednesday,25,12,2024,52,0,0
2024-08-01,8,1095,Smartphone,R1-A,5,8610.46,10,138,335,57.6,32.5,170.09,38747.07,30136.61,8610.46,0,0,0,0,0,,0,Mangsir,Thursday,1,8,2024,31,1,0
2024-02-04,8,1017,Headphone,R3-C,7,81879.26,10,12,98,0.66,21.3,169.08,515839.34,401208.37,114630.97,0,0,0,0,0,,0,Jestha,Sunday,4,2,2024,5,1,0
2024-08-14,15,1016,Smartwatch,R1-B,3,193329.75,10,392,148,23.56,16.6,189.04,521990.32,405992.48,115997.84,0,0,0,0,0,,0,Mangsir,Wednesday,14,8,2024,33,0,0
2024-04-10,13,1097,Laptop,R2-B,6,146613.85,10,393,104,13.08,7.2,177.99,791714.79,615778.17,175936.62,0,0,0,1,0,Eid,1,Shrawan,Wednesday,10,4,2024,15,0,1
2024-05-10,7,1038,Television,R4-D,8,61494.84,0,257,202,22.21,18.9,159.82,491958.72,344371.1,147587.62,0,0,0,0,0,,0,Bhadra,Friday,10,5,2024,19,0,0
2024-09-13,5,1070,Television,R4-D,8,115902.92,10,79,94,11.72,13.3,171.14,834501.02,649056.35,185444.67,0,0,0,0,0,,0,Poush,Friday,13,9,2024,37,0,0
2024-01-05,17,1053,Router,R3-A,2,120622.07,10,61,176,44.84,7.3,186.86,217119.73,168870.9,48248.83,0,0,0,0,0,,0,Baisakh,Friday,5,1,2024,1,1,0
2024-08-05,16,1098,Smartwatch,R1-B,6,6622.94,15,446,64,19.62,25.1,192.6,33776.99,27816.35,5960.64,0,0,0,0,0,,0,Mangsir,Monday,5,8,2024,32,1,0
2024-09-11,2,1093,Television,R4-D,7,37409.01,10,387,40,7.31,34.3,179.58,235676.76,183304.15,52372.61,0,0,0,0,0,,0,Poush,Wednesday,11,9,2024,37,0,0
2024-12-24,18,1075,Router,R3-A,7,111251.83,10,268,223,19.55,16.4,170.77,700886.53,545133.97,155752.56,0,0,0,0,0,,0,Chaitra,Tuesday,24,12,2024,52,0,0
2024-10-09,17,1034,Router,R3-A,3,81745.01,15,248,66,3.44,13.9,165.08,208449.78,171664.52,36785.26,0,0,0,0,0,,0,Magh,Wednesday,9,10,2024,41,0,0
2024-07-25,7,1010,Router,R3-A,9,39627.49,10,103,379,28.57,7.7,171.88,320982.67,249653.19,71329.48,0,0,0,0,0,,0,Kartik,Thursday,25,7,2024,30,0,0
2024-01-15,13,1060,Television,R4-D,2,154988.41,10,56,254,17.09,11.7,177.63,278979.14,216983.77,61995.37,0,0,0,0,0,,0,Baisakh,Monday,15,1,2024,3,0,0
2024-12-11,18,1043,Television,R4-D,3,98820.99,20,84,479,24.84,13.5,155.18,237170.38,207524.08,29646.3,0,0,0,0,0,,0,Chaitra,Wednesday,11,12,2024,50,0,0
2024-02-11,14,1067,Television,R4-D,2,63374.68,0,100,297,12.24,15.3,165.75,126749.36,88724.55,38024.81,0,0,0,0,0,,0,Jestha,Sunday,11,2,2024,6,0,0
2024-06-27,18,1024,Headphone,R3-C,9,34012.11,15,95,68,17.16,24.0,181.86,260192.64,214276.29,45916.35,0,0,0,0,0,,0,Ashwin,Thursday,27,6,2024,26,0,0
2024-03-03,13,1047,Router,R3-A,4,123010.35,20,15,440,37.65,8.4,181.93,393633.12,344428.98,49204.14,0,0,0,0,0,,0,Ashadh,Sunday,3,3,2024,9,1,0
